6,196
9,192
11,197
12,192
17,196
18,195
19,195
20,197
22,195
24,197
31,195
33,193
34,197
35,196
38,196
45,192
49,197
52,191
53,194
54,193
55,197
61,193
64,191
65,195
66,196
69,196
71,196
75,191
77,195
78,193
81,194
87,192
89,197
98,195
100,192
101,197
103,191
107,196
109,196
110,195
111,192
113,195
116,195
117,194
122,197
123,194
130,197
134,192
137,197
141,195
151,195
167,197
168,197
170,192
179,195
183,197
190,195
196,193
197,191
198,192
200,194
205,193
207,191
210,191
215,194
222,197
228,194
230,197
233,197
235,191
236,196
240,194
242,196
243,197
246,196
247,192
250,192
251,197
252,192
260,195
261,197
263,193
264,194
265,191
267,193
271,196
272,193
274,195
279,191
280,194
287,192
289,195
290,197
292,193
293,191
294,192
296,196
298,192
299,193
300,193
