1,34
2,134
3,296
4,271
5,255
6,13
7,237
8,54
9,146
10,194
11,148
12,273
13,239
14,97
15,53
16,120
17,27
18,7
19,267
20,69
21,257
22,171
23,278
24,163
25,151
26,180
27,123
28,74
29,263
30,112
31,166
32,60
33,129
34,28
35,132
36,46
37,11
38,256
39,240
40,50
41,14
42,137
43,126
44,290
45,33
46,62
47,1
48,160
49,144
50,185
51,43
52,133
53,67
54,41
55,221
56,243
57,212
58,281
59,31
60,199
61,95
62,187
63,213
64,15
65,5
66,225
67,234
68,201
69,90
70,105
71,293
72,230
73,122
74,220
75,78
76,266
77,284
78,168
79,70
80,115
81,36
82,285
83,198
84,108
85,250
86,207
87,104
88,131
89,91
90,87
91,208
92,242
93,161
94,279
95,66
96,188
97,232
98,283
99,262
100,155
