4,100,Professor
5,101,Assistant instructor
8,102,Lecturer
13,103,Professor
14,104,Professor
16,105,Professor
21,106,Assistant instructor
23,107,Assistant instructor
25,108,Professor
28,109,Lecturer
30,100,Senior lecturer
36,101,Professor
37,102,Professor
40,103,Professor
42,104,Professor
43,105,Professor
44,106,Lecturer
46,107,Assistant instructor
47,108,Lecturer
51,109,Senior lecturer
57,100,Lecturer
58,101,Lecturer
60,102,Senior lecturer
63,103,Senior lecturer
67,104,Professor
70,105,Lecturer
73,106,Assistant instructor
86,107,Lecturer
88,108,Assistant instructor
91,109,Senior lecturer
96,100,Assistant instructor
102,101,Lecturer
106,102,Lecturer
108,103,Professor
114,104,Senior lecturer
118,105,Professor
119,106,Lecturer
120,107,Professor
124,108,Professor
125,109,Lecturer
127,100,Senior lecturer
128,101,Senior lecturer
129,102,Professor
131,103,Lecturer
132,104,Assistant instructor
133,105,Lecturer
135,106,Senior lecturer
136,107,Lecturer
143,108,Lecturer
144,109,Senior lecturer
147,100,Professor
148,101,Assistant instructor
154,102,Professor
156,103,Senior lecturer
160,104,Professor
161,105,Assistant instructor
162,106,Assistant instructor
163,107,Lecturer
164,108,Senior lecturer
165,109,Assistant instructor
173,100,Assistant instructor
174,101,Professor
175,102,Assistant instructor
176,103,Assistant instructor
178,104,Lecturer
184,105,Lecturer
185,106,Assistant instructor
186,107,Assistant instructor
188,108,Senior lecturer
189,109,Professor
194,100,Lecturer
203,101,Professor
209,102,Assistant instructor
211,103,Assistant instructor
213,104,Senior lecturer
214,105,Lecturer
219,106,Senior lecturer
220,107,Lecturer
221,108,Senior lecturer
226,109,Assistant instructor
227,100,Assistant instructor
234,101,Professor
238,102,Senior lecturer
239,103,Assistant instructor
241,104,Lecturer
248,105,Lecturer
249,106,Assistant instructor
253,107,Assistant instructor
254,108,Senior lecturer
255,109,Professor
256,100,Professor
258,101,Senior lecturer
276,102,Professor
278,103,Lecturer
281,104,Lecturer
282,105,Lecturer
284,106,Senior lecturer
288,107,Assistant instructor
291,108,Senior lecturer
295,109,Senior lecturer
