10,2
15,2
26,2
29,3
32,3
39,3
41,3
48,4
50,4
56,4
59,4
62,5
68,5
72,5
74,5
76,6
79,6
80,6
82,6
83,7
84,7
85,7
90,7
92,8
93,8
94,8
95,8
97,9
99,9
104,9
105,9
112,10
115,10
121,10
126,10
138,11
139,11
140,11
142,11
145,12
146,12
149,12
150,12
152,13
153,13
155,13
157,13
158,14
159,14
166,14
169,14
171,15
172,15
177,15
180,15
181,16
182,16
187,16
191,16
192,17
193,17
195,17
199,17
201,18
202,18
204,18
206,18
208,19
212,19
216,19
217,19
218,20
223,20
224,20
225,20
229,21
231,21
232,21
237,21
244,22
245,22
257,22
259,22
262,23
266,23
269,23
270,24
273,24
275,24
277,24
283,25
285,25
286,25
297,25
