1,15,40
1,59,100
1,84,100
1,105,45
1,146,82
1,169,72
1,193,99
1,217,83
1,245,95
1,277,47
2,15,59
2,59,69
2,84,97
2,105,53
2,146,46
2,169,78
2,193,48
2,217,74
2,245,87
2,277,77
3,15,47
3,59,49
3,84,57
3,105,43
3,146,61
3,169,59
3,193,43
3,217,84
3,245,49
3,277,51
4,15,52
4,59,49
4,84,76
4,105,75
4,146,92
4,169,97
4,193,99
4,217,77
4,245,95
4,277,63
5,15,86
5,59,83
5,84,63
5,105,82
5,146,45
5,169,92
5,193,91
5,217,74
5,245,99
5,277,48
6,15,78
6,59,49
6,84,55
6,105,74
6,146,94
6,169,43
6,193,84
6,217,89
6,245,78
6,277,58
7,2,56
7,41,73
7,79,64
7,95,57
7,139,54
7,157,100
7,182,84
7,206,45
7,231,66
7,269,79
8,2,52
8,41,46
8,79,0
8,95,48
8,139,73
8,157,99
8,182,42
8,206,44
8,231,73
8,269,59
9,2,74
9,41,59
9,79,73
9,95,81
9,139,44
9,157,42
9,182,81
9,206,64
9,231,46
9,269,57
10,2,46
10,41,56
10,79,44
10,95,90
10,139,75
10,157,71
10,182,74
10,206,100
10,231,68
10,269,59
11,2,69
11,41,54
11,79,87
11,95,42
11,139,76
11,157,71
11,182,53
11,206,54
11,231,61
11,269,68
12,15,78
12,59,63
12,84,91
12,105,69
12,146,43
12,169,41
12,193,41
12,217,77
12,245,58
12,277,81
13,15,47
13,59,55
13,84,86
13,105,74
13,146,100
13,169,67
13,193,55
13,217,93
13,245,72
13,277,99
14,15,99
14,59,89
14,84,70
14,105,49
14,146,42
14,169,42
14,193,51
14,217,88
14,245,49
14,277,47
15,27,54
15,68,48
15,90,97
15,115,96
15,150,65
15,172,41
15,199,78
15,223,79
15,259,50
15,285,45
16,27,59
16,68,63
16,90,58
16,115,44
16,150,74
16,172,77
16,199,75
16,223,100
16,259,43
16,285,90
17,27,92
17,68,62
17,90,81
17,115,85
17,150,88
17,172,80
17,199,62
17,223,48
17,259,58
17,285,82
18,2,76
18,41,69
18,79,40
18,95,44
18,139,82
18,157,62
18,182,61
18,206,64
18,231,61
18,269,62
19,2,62
19,41,78
19,79,87
19,95,71
19,139,52
19,157,93
19,182,68
19,206,96
19,231,50
19,269,87
20,2,93
20,41,97
20,79,97
20,95,84
20,139,65
20,157,41
20,182,90
20,206,50
20,231,82
20,269,59
21,1,60
21,39,91
21,76,89
21,94,55
21,138,95
21,155,94
21,181,87
21,204,54
21,229,51
22,1,46
22,39,50
22,76,69
22,94,64
22,138,44
22,155,77
22,181,49
22,204,98
22,229,98
23,3,78
23,48,83
23,80,53
23,97,97
23,140,42
23,158,46
23,187,77
23,208,55
23,232,72
23,270,52
24,3,77
24,48,80
24,80,66
24,97,59
24,140,86
24,158,71
24,187,100
24,208,85
24,232,53
24,270,52
25,3,52
25,48,66
25,80,83
25,97,61
25,140,100
25,158,86
25,187,98
25,208,89
25,232,98
25,270,57
28,27,99
28,68,48
28,90,71
28,115,57
28,150,91
28,172,93
28,199,75
28,223,80
28,259,81
28,285,43
29,27,44
29,68,67
29,90,64
29,115,71
29,150,76
29,172,53
29,199,47
29,223,90
29,259,67
29,285,77
30,27,100
30,68,75
30,90,97
30,115,78
30,150,72
30,172,98
30,199,84
30,223,63
30,259,94
30,285,59
