1,222
2,223
3,224
7,225
10,226
15,227
26,228
27,229
29,230
32,222
39,223
41,224
48,225
50,226
56,227
59,228
62,229
68,230
72,222
74,223
76,224
79,225
80,226
82,227
83,228
84,229
85,230
90,222
92,223
93,224
94,225
95,226
97,227
99,228
104,229
105,230
112,222
115,223
121,224
126,225
138,226
139,227
140,228
142,229
145,222
146,223
149,224
150,225
152,226
153,227
155,228
157,229
158,230
159,222
166,223
169,224
171,225
172,226
177,227
180,228
181,229
182,230
187,222
191,223
192,224
193,225
195,226
199,227
201,228
202,229
204,230
206,222
208,223
212,224
216,225
217,226
218,227
223,228
224,229
225,230
229,222
231,223
204,224
206,225
208,226
212,227
216,228
217,229
218,230
223,222
224,223
225,228
229,229
231,230
79,230
80,223
82,224
83,225
84,226
85,227
90,228
123,222
